Vencimento,01/03/2023,,,,
Dia,Taxa Compra Manhã,Taxa Venda Manhã,PU Compra Manhã,PU Venda Manhã,PU Base Manhã
03/01/2022,"0,05%","0,06%","11.234,14","11.228,88","11.228,88"
04/01/2022,"0,05%","0,06%","11.237,91","11.232,65","11.232,65"
05/01/2022,"0,05%","0,06%","11.241,88","11.236,62","11.236,62"
06/01/2022,"0,05%","0,06%","11.246,00","11.240,75","11.240,75"
07/01/2022,"0,05%","0,06%","11.249,87","11.244,61","11.244,61"
10/01/2022,"0,05%","0,06%","11.253,91","11.248,67","11.248,67"
11/01/2022,"0,05%","0,06%","11.257,82","11.252,57","11.252,57"
12/01/2022,"0,05%","0,06%","11.261,92","11.256,68","11.256,68"
13/01/2022,"0,04%","0,05%","11.266,40","11.261,16","11.261,16"
14/01/2022,"0,04%","0,05%","11.270,45","11.265,22","11.265,22"
17/01/2022,"0,04%","0,05%","11.274,72","11.269,49","11.269,49"
18/01/2022,"0,04%","0,05%","11.278,90","11.273,66","11.273,66"
19/01/2022,"0,03%","0,04%","11.283,29","11.278,06","11.278,06"
20/01/2022,"0,03%","0,04%","11.287,58","11.282,37","11.282,37"
21/01/2022,"0,03%","0,04%","11.291,88","11.286,66","11.286,66"
24/01/2022,"0,03%","0,04%","11.295,82","11.290,62","11.290,62"
25/01/2022,"0,02%","0,03%","11.300,31","11.295,10","11.295,10"
26/01/2022,"0,02%","0,03%","11.304,56","11.299,36","11.299,36"
27/01/2022,"0,02%","0,03%","11.308,64","11.303,44","11.303,44"
28/01/2022,"0,02%","0,03%","11.312,63","11.307,44","11.307,44"
31/01/2022,"0,02%","0,03%","11.316,58","11.311,39","11.311,39"
01/02/2022,"0,02%","0,03%","11.320,53","11.315,33","11.315,33"
02/02/2022,"0,02%","0,03%","11.324,47","11.319,27","11.319,27"
03/02/2022,"0,02%","0,03%","11.328,94","11.323,14","11.323,14"
04/02/2022,"0,02%","0,03%","11.333,40","11.327,60","11.327,60"
07/02/2022,"0,02%","0,03%","11.337,95","11.332,16","11.332,16"
08/02/2022,"0,02%","0,03%","11.342,38","11.336,59","11.336,59"
09/02/2022,"0,02%","0,03%","11.346,84","11.341,05","11.341,05"
10/02/2022,"0,02%","0,03%","11.351,41","11.345,62","11.345,62"
11/02/2022,"0,02%","0,03%","11.355,99","11.350,20","11.350,20"
14/02/2022,"0,02%","0,03%","11.360,75","11.354,96","11.354,96"
15/02/2022,"0,02%","0,03%","11.365,27","11.359,49","11.359,49"
